 log g Teff   ZR   Vel  a(CHEOPS)
 log g Teff   ZR   Vel  b(CHEOPS)
 log g Teff   ZR   Vel  xi(CHEOPS)
 4.00  5000.  0.0  0.0   0.0034
 4.50  5000.  0.0  0.0   0.5855
 4.50  5000.  0.0  0.0   0.1325
 4.50  5000.  0.0  0.0   0.0032
 5.00  5000.  0.0  0.0   0.5852
 5.00  5000.  0.0  0.0   0.1325
 5.00  5000.  0.0  0.0   0.0031
 0.00  5250.  0.0  0.0   0.5146
 0.00  5250.  0.0  0.0   0.1555
 0.00  5250.  0.0  0.0   0.0036
 0.50  5250.  0.0  0.0   0.5083
 0.50  5250.  0.0  0.0   0.1693
 0.50  5250.  0.0  0.0   0.0045
 1.00  5250.  0.0  0.0   0.5035
 1.00  5250.  0.0  0.0   0.1814
 1.00  5250.  0.0  0.0   0.0047
 1.50  5250.  0.0  0.0   0.5098
 1.50  5250.  0.0  0.0   0.1824
 1.50  5250.  0.0  0.0   0.0042
 2.00  5250.  0.0  0.0   0.5078
 2.00  5250.  0.0  0.0   0.1870
 2.00  5250.  0.0  0.0   0.0042
 2.50  5250.  0.0  0.0   0.5082
 2.50  5250.  0.0  0.0   0.1889
 2.50  5250.  0.0  0.0   0.0041
 3.00  5250.  0.0  0.0   0.5131
 3.00  5250.  0.0  0.0   0.1859
 3.00  5250.  0.0  0.0   0.0038
 3.50  5250.  0.0  0.0   0.5200
 3.50  5250.  0.0  0.0   0.1807
 3.50  5250.  0.0  0.0   0.0037
 4.00  5250.  0.0  0.0   0.5270
 4.00  5250.  0.0  0.0   0.1751
 4.00  5250.  0.0  0.0   0.0036
 4.50  5250.  0.0  0.0   0.5298
 4.50  5250.  0.0  0.0   0.1734
 4.50  5250.  0.0  0.0   0.0036
 5.00  5250.  0.0  0.0   0.5305
 5.00  5250.  0.0  0.0   0.1736
 5.00  5250.  0.0  0.0   0.0034
 0.00  5500.  0.0  0.0   0.4861
 0.00  5500.  0.0  0.0   0.1644
 0.00  5500.  0.0  0.0   0.0050
 0.50  5500.  0.0  0.0   0.4612
 0.50  5500.  0.0  0.0   0.1955
 0.50  5500.  0.0  0.0   0.0057
 1.00  5500.  0.0  0.0   0.4554
 1.00  5500.  0.0  0.0   0.2063
 1.00  5500.  0.0  0.0   0.0068
 1.50  5500.  0.0  0.0   0.4578
 1.50  5500.  0.0  0.0   0.2129
 1.50  5500.  0.0  0.0   0.0058
 2.00  5500.  0.0  0.0   0.4491
 2.00  5500.  0.0  0.0   0.2239
 2.00  5500.  0.0  0.0   0.0062
 2.50  5500.  0.0  0.0   0.4544
 2.50  5500.  0.0  0.0   0.2235
 2.50  5500.  0.0  0.0   0.0051
 3.00  5500.  0.0  0.0   0.4569
 3.00  5500.  0.0  0.0   0.2234
 3.00  5500.  0.0  0.0   0.0046
 3.50  5500.  0.0  0.0   0.4654
 3.50  5500.  0.0  0.0   0.2175
 3.50  5500.  0.0  0.0   0.0042
 4.00  5500.  0.0  0.0   0.4732
 4.00  5500.  0.0  0.0   0.2116
 4.00  5500.  0.0  0.0   0.0040
 4.50  5500.  0.0  0.0   0.4757
 4.50  5500.  0.0  0.0   0.2106
 4.50  5500.  0.0  0.0   0.0040
 5.00  5500.  0.0  0.0   0.4759
 5.00  5500.  0.0  0.0   0.2120
 5.00  5500.  0.0  0.0   0.0040
 0.00  5750.  0.0  0.0   0.5503
 0.00  5750.  0.0  0.0   0.1023
 0.00  5750.  0.0  0.0   0.0028
 0.50  5750.  0.0  0.0   0.4791
 0.50  5750.  0.0  0.0   0.1643
 0.50  5750.  0.0  0.0   0.0072
 1.00  5750.  0.0  0.0   0.4118
 1.00  5750.  0.0  0.0   0.2316
 1.00  5750.  0.0  0.0   0.0087
 1.50  5750.  0.0  0.0   0.4079
 1.50  5750.  0.0  0.0   0.2391
 1.50  5750.  0.0  0.0   0.0090
 2.00  5750.  0.0  0.0   0.4031
 2.00  5750.  0.0  0.0   0.2486
 2.00  5750.  0.0  0.0   0.0087
 2.50  5750.  0.0  0.0   0.4068
 2.50  5750.  0.0  0.0   0.2507
 2.50  5750.  0.0  0.0   0.0072
 3.00  5750.  0.0  0.0   0.4091
 3.00  5750.  0.0  0.0   0.2522
 3.00  5750.  0.0  0.0   0.0061
 3.50  5750.  0.0  0.0   0.4147
 3.50  5750.  0.0  0.0   0.2496
 3.50  5750.  0.0  0.0   0.0053
 4.00  5750.  0.0  0.0   0.4200
 4.00  5750.  0.0  0.0   0.2464
 4.00  5750.  0.0  0.0   0.0050
 4.50  5750.  0.0  0.0   0.4267
 4.50  5750.  0.0  0.0   0.2420
 4.50  5750.  0.0  0.0   0.0047
 5.00  5750.  0.0  0.0   0.4265
 5.00  5750.  0.0  0.0   0.2439
 5.00  5750.  0.0  0.0   0.0047
 0.00  6000.  0.0  0.0   0.5416
 0.00  6000.  0.0  0.0   0.1117
 0.00  6000.  0.0  0.0   0.0016
 0.50  6000.  0.0  0.0   0.5114
 0.50  6000.  0.0  0.0   0.1366
 0.50  6000.  0.0  0.0   0.0037
 1.00  6000.  0.0  0.0   0.4521
 1.00  6000.  0.0  0.0   0.1841
 1.00  6000.  0.0  0.0   0.0087
 1.50  6000.  0.0  0.0   0.3696
 1.50  6000.  0.0  0.0   0.2638
 1.50  6000.  0.0  0.0   0.0107
 2.00  6000.  0.0  0.0   0.3699
 2.00  6000.  0.0  0.0   0.2662
 2.00  6000.  0.0  0.0   0.0104
 2.50  6000.  0.0  0.0   0.3690
 2.50  6000.  0.0  0.0   0.2701
 2.50  6000.  0.0  0.0   0.0095
 3.00  6000.  0.0  0.0   0.3686
 3.00  6000.  0.0  0.0   0.2735
 3.00  6000.  0.0  0.0   0.0084
 3.50  6000.  0.0  0.0   0.3696
 3.50  6000.  0.0  0.0   0.2751
 3.50  6000.  0.0  0.0   0.0074
 4.00  6000.  0.0  0.0   0.3757
 4.00  6000.  0.0  0.0   0.2724
 4.00  6000.  0.0  0.0   0.0064
 4.50  6000.  0.0  0.0   0.3809
 4.50  6000.  0.0  0.0   0.2695
 4.50  6000.  0.0  0.0   0.0059
 5.00  6000.  0.0  0.0   0.3797
 5.00  6000.  0.0  0.0   0.2723
 5.00  6000.  0.0  0.0   0.0059
 0.50  6250.  0.0  0.0   0.5093
 0.50  6250.  0.0  0.0   0.1419
 0.50  6250.  0.0  0.0   0.0021
 1.00  6250.  0.0  0.0   0.4807
 1.00  6250.  0.0  0.0   0.1633
 1.00  6250.  0.0  0.0   0.0042
 1.50  6250.  0.0  0.0   0.4370
 1.50  6250.  0.0  0.0   0.1935
 1.50  6250.  0.0  0.0   0.0087
 2.00  6250.  0.0  0.0   0.3349
 2.00  6250.  0.0  0.0   0.2862
 2.00  6250.  0.0  0.0   0.0128
 2.50  6250.  0.0  0.0   0.3358
 2.50  6250.  0.0  0.0   0.2871
 2.50  6250.  0.0  0.0   0.0121
 3.00  6250.  0.0  0.0   0.3347
 3.00  6250.  0.0  0.0   0.2897
 3.00  6250.  0.0  0.0   0.0110
 3.50  6250.  0.0  0.0   0.3357
 3.50  6250.  0.0  0.0   0.2916
 3.50  6250.  0.0  0.0   0.0095
 4.00  6250.  0.0  0.0   0.3403
 4.00  6250.  0.0  0.0   0.2900
 4.00  6250.  0.0  0.0   0.0082
 4.50  6250.  0.0  0.0   0.3425
 4.50  6250.  0.0  0.0   0.2898
 4.50  6250.  0.0  0.0   0.0076
 5.00  6250.  0.0  0.0   0.3414
 5.00  6250.  0.0  0.0   0.2924
 5.00  6250.  0.0  0.0   0.0074
 0.50  6500.  0.0  0.0   0.5003
 0.50  6500.  0.0  0.0   0.1478
 0.50  6500.  0.0  0.0   0.0018
 1.00  6500.  0.0  0.0   0.4746
 1.00  6500.  0.0  0.0   0.1722
 1.00  6500.  0.0  0.0   0.0027
 1.50  6500.  0.0  0.0   0.4442
 1.50  6500.  0.0  0.0   0.1923
 1.50  6500.  0.0  0.0   0.0052
 2.00  6500.  0.0  0.0   0.3871
 2.00  6500.  0.0  0.0   0.2305
 2.00  6500.  0.0  0.0   0.0114
 2.50  6500.  0.0  0.0   0.3064
 2.50  6500.  0.0  0.0   0.3037
 2.50  6500.  0.0  0.0   0.0140
 3.00  6500.  0.0  0.0   0.3072
 3.00  6500.  0.0  0.0   0.3039
 3.00  6500.  0.0  0.0   0.0130
 3.50  6500.  0.0  0.0   0.3095
 3.50  6500.  0.0  0.0   0.3035
 3.50  6500.  0.0  0.0   0.0112
 4.00  6500.  0.0  0.0   0.3121
 4.00  6500.  0.0  0.0   0.3029
 4.00  6500.  0.0  0.0   0.0098
 4.50  6500.  0.0  0.0   0.3114
 4.50  6500.  0.0  0.0   0.3043
 4.50  6500.  0.0  0.0   0.0092
 5.00  6500.  0.0  0.0   0.3112
 5.00  6500.  0.0  0.0   0.3056
 5.00  6500.  0.0  0.0   0.0088
 0.50  6750.  0.0  0.0   0.4693
 0.50  6750.  0.0  0.0   0.1733
 0.50  6750.  0.0  0.0   0.0020
 1.00  6750.  0.0  0.0   0.4674
 1.00  6750.  0.0  0.0   0.1768
 1.00  6750.  0.0  0.0   0.0024
 1.50  6750.  0.0  0.0   0.4398
 1.50  6750.  0.0  0.0   0.2005
 1.50  6750.  0.0  0.0   0.0033
 2.00  6750.  0.0  0.0   0.4007
 2.00  6750.  0.0  0.0   0.2238
 2.00  6750.  0.0  0.0   0.0070
 2.50  6750.  0.0  0.0   0.3406
 2.50  6750.  0.0  0.0   0.2655
 2.50  6750.  0.0  0.0   0.0130
 3.00  6750.  0.0  0.0   0.2838
 3.00  6750.  0.0  0.0   0.3172
 3.00  6750.  0.0  0.0   0.0139
 3.50  6750.  0.0  0.0   0.2863
 3.50  6750.  0.0  0.0   0.3156
 3.50  6750.  0.0  0.0   0.0126
 4.00  6750.  0.0  0.0   0.2880
 4.00  6750.  0.0  0.0   0.3140
 4.00  6750.  0.0  0.0   0.0115
 4.50  6750.  0.0  0.0   0.2873
 4.50  6750.  0.0  0.0   0.3142
 4.50  6750.  0.0  0.0   0.0109
 5.00  6750.  0.0  0.0   0.2875
 5.00  6750.  0.0  0.0   0.3148
 5.00  6750.  0.0  0.0   0.0101
 0.50  7000.  0.0  0.0   0.4357
 0.50  7000.  0.0  0.0   0.2006
 0.50  7000.  0.0  0.0   0.0023
 1.00  7000.  0.0  0.0   0.4355
 1.00  7000.  0.0  0.0   0.2023
 1.00  7000.  0.0  0.0   0.0028
 1.50  7000.  0.0  0.0   0.4342
 1.50  7000.  0.0  0.0   0.2033
 1.50  7000.  0.0  0.0   0.0031
 2.00  7000.  0.0  0.0   0.4054
 2.00  7000.  0.0  0.0   0.2259
 2.00  7000.  0.0  0.0   0.0041
 2.50  7000.  0.0  0.0   0.3608
 2.50  7000.  0.0  0.0   0.2518
 2.50  7000.  0.0  0.0   0.0085
 3.00  7000.  0.0  0.0   0.2987
 3.00  7000.  0.0  0.0   0.2929
 3.00  7000.  0.0  0.0   0.0153
 3.50  7000.  0.0  0.0   0.2666
 3.50  7000.  0.0  0.0   0.3263
 3.50  7000.  0.0  0.0   0.0136
 4.00  7000.  0.0  0.0   0.2671
 4.00  7000.  0.0  0.0   0.3242
 4.00  7000.  0.0  0.0   0.0130
 4.50  7000.  0.0  0.0   0.2672
 4.50  7000.  0.0  0.0   0.3231
 4.50  7000.  0.0  0.0   0.0122
 5.00  7000.  0.0  0.0   0.2685
 5.00  7000.  0.0  0.0   0.3223
 5.00  7000.  0.0  0.0   0.0111
 0.50  7250.  0.0  0.0   0.4032
 0.50  7250.  0.0  0.0   0.2245
 0.50  7250.  0.0  0.0   0.0029
 1.00  7250.  0.0  0.0   0.4011
 1.00  7250.  0.0  0.0   0.2286
 1.00  7250.  0.0  0.0   0.0035
 1.50  7250.  0.0  0.0   0.4028
 1.50  7250.  0.0  0.0   0.2273
 1.50  7250.  0.0  0.0   0.0039
 2.00  7250.  0.0  0.0   0.4021
 2.00  7250.  0.0  0.0   0.2266
 2.00  7250.  0.0  0.0   0.0040
 2.50  7250.  0.0  0.0   0.3711
 2.50  7250.  0.0  0.0   0.2492
 2.50  7250.  0.0  0.0   0.0051
 3.00  7250.  0.0  0.0   0.3216
 3.00  7250.  0.0  0.0   0.2779
 3.00  7250.  0.0  0.0   0.0103
 3.50  7250.  0.0  0.0   0.2598
 3.50  7250.  0.0  0.0   0.3182
 3.50  7250.  0.0  0.0   0.0174
 4.00  7250.  0.0  0.0   0.2493
 4.00  7250.  0.0  0.0   0.3332
 4.00  7250.  0.0  0.0   0.0140
 4.50  7250.  0.0  0.0   0.2483
 4.50  7250.  0.0  0.0   0.3321
 4.50  7250.  0.0  0.0   0.0135
 5.00  7250.  0.0  0.0   0.2504
 5.00  7250.  0.0  0.0   0.3303
 5.00  7250.  0.0  0.0   0.0122
 0.50  7500.  0.0  0.0   0.3732
 0.50  7500.  0.0  0.0   0.2421
 0.50  7500.  0.0  0.0   0.0040
 1.00  7500.  0.0  0.0   0.3678
 1.00  7500.  0.0  0.0   0.2505
 1.00  7500.  0.0  0.0   0.0048
 1.50  7500.  0.0  0.0   0.3655
 1.50  7500.  0.0  0.0   0.2536
 1.50  7500.  0.0  0.0   0.0053
 2.00  7500.  0.0  0.0   0.3698
 2.00  7500.  0.0  0.0   0.2490
 2.00  7500.  0.0  0.0   0.0053
 2.50  7500.  0.0  0.0   0.3694
 2.50  7500.  0.0  0.0   0.2477
 2.50  7500.  0.0  0.0   0.0050
 3.00  7500.  0.0  0.0   0.3372
 3.00  7500.  0.0  0.0   0.2707
 3.00  7500.  0.0  0.0   0.0062
 3.50  7500.  0.0  0.0   0.2836
 3.50  7500.  0.0  0.0   0.3027
 3.50  7500.  0.0  0.0   0.0119
 4.00  7500.  0.0  0.0   0.2340
 4.00  7500.  0.0  0.0   0.3400
 4.00  7500.  0.0  0.0   0.0154
 4.50  7500.  0.0  0.0   0.2315
 4.50  7500.  0.0  0.0   0.3407
 4.50  7500.  0.0  0.0   0.0144
 5.00  7500.  0.0  0.0   0.2328
 5.00  7500.  0.0  0.0   0.3386
 5.00  7500.  0.0  0.0   0.0134
 1.00  7750.  0.0  0.0   0.3440
 1.00  7750.  0.0  0.0   0.2618
 1.00  7750.  0.0  0.0   0.0059
 1.50  7750.  0.0  0.0   0.3348
 1.50  7750.  0.0  0.0   0.2712
 1.50  7750.  0.0  0.0   0.0069
 2.00  7750.  0.0  0.0   0.3336
 2.00  7750.  0.0  0.0   0.2721
 2.00  7750.  0.0  0.0   0.0072
 2.50  7750.  0.0  0.0   0.3378
 2.50  7750.  0.0  0.0   0.2673
 2.50  7750.  0.0  0.0   0.0068
 3.00  7750.  0.0  0.0   0.3371
 3.00  7750.  0.0  0.0   0.2665
 3.00  7750.  0.0  0.0   0.0061
 3.50  7750.  0.0  0.0   0.2993
 3.50  7750.  0.0  0.0   0.2937
 3.50  7750.  0.0  0.0   0.0078
 4.00  7750.  0.0  0.0   0.2426
 4.00  7750.  0.0  0.0   0.3295
 4.00  7750.  0.0  0.0   0.0138
 4.50  7750.  0.0  0.0   0.2184
 4.50  7750.  0.0  0.0   0.3478
 4.50  7750.  0.0  0.0   0.0145
 5.00  7750.  0.0  0.0   0.2170
 5.00  7750.  0.0  0.0   0.3463
 5.00  7750.  0.0  0.0   0.0141
 1.00  8000.  0.0  0.0   0.3289
 1.00  8000.  0.0  0.0   0.2644
 1.00  8000.  0.0  0.0   0.0067
 1.50  8000.  0.0  0.0   0.3135
 1.50  8000.  0.0  0.0   0.2787
 1.50  8000.  0.0  0.0   0.0082
 2.00  8000.  0.0  0.0   0.3068
 2.00  8000.  0.0  0.0   0.2843
 2.00  8000.  0.0  0.0   0.0090
 2.50  8000.  0.0  0.0   0.3073
 2.50  8000.  0.0  0.0   0.2834
 2.50  8000.  0.0  0.0   0.0088
 3.00  8000.  0.0  0.0   0.3126
 3.00  8000.  0.0  0.0   0.2777
 3.00  8000.  0.0  0.0   0.0081
 3.50  8000.  0.0  0.0   0.3092
 3.50  8000.  0.0  0.0   0.2800
 3.50  8000.  0.0  0.0   0.0072
 4.00  8000.  0.0  0.0   0.2637
 4.00  8000.  0.0  0.0   0.3136
 4.00  8000.  0.0  0.0   0.0097
 4.50  8000.  0.0  0.0   0.2138
 4.50  8000.  0.0  0.0   0.3468
 4.50  8000.  0.0  0.0   0.0146
 5.00  8000.  0.0  0.0   0.2010
 5.00  8000.  0.0  0.0   0.3535
 5.00  8000.  0.0  0.0   0.0152
 1.00  8250.  0.0  0.0   0.3229
 1.00  8250.  0.0  0.0   0.2602
 1.00  8250.  0.0  0.0   0.0072
 1.50  8250.  0.0  0.0   0.2997
 1.50  8250.  0.0  0.0   0.2806
 1.50  8250.  0.0  0.0   0.0087
 2.00  8250.  0.0  0.0   0.2879
 2.00  8250.  0.0  0.0   0.2887
 2.00  8250.  0.0  0.0   0.0100
 2.50  8250.  0.0  0.0   0.2841
 2.50  8250.  0.0  0.0   0.2907
 2.50  8250.  0.0  0.0   0.0105
 3.00  8250.  0.0  0.0   0.2855
 3.00  8250.  0.0  0.0   0.2889
 3.00  8250.  0.0  0.0   0.0101
 3.50  8250.  0.0  0.0   0.2903
 3.50  8250.  0.0  0.0   0.2843
 3.50  8250.  0.0  0.0   0.0092
 4.00  8250.  0.0  0.0   0.2795
 4.00  8250.  0.0  0.0   0.2946
 4.00  8250.  0.0  0.0   0.0082
 4.50  8250.  0.0  0.0   0.2289
 4.50  8250.  0.0  0.0   0.3328
 4.50  8250.  0.0  0.0   0.0115
 5.00  8250.  0.0  0.0   0.1922
 5.00  8250.  0.0  0.0   0.3563
 5.00  8250.  0.0  0.0   0.0156
 1.50  8500.  0.0  0.0   0.2909
 1.50  8500.  0.0  0.0   0.2804
 1.50  8500.  0.0  0.0   0.0091
 2.00  8500.  0.0  0.0   0.2751
 2.00  8500.  0.0  0.0   0.2899
 2.00  8500.  0.0  0.0   0.0105
 2.50  8500.  0.0  0.0   0.2680
 2.50  8500.  0.0  0.0   0.2927
 2.50  8500.  0.0  0.0   0.0113
 3.00  8500.  0.0  0.0   0.2663
 3.00  8500.  0.0  0.0   0.2924
 3.00  8500.  0.0  0.0   0.0113
 3.50  8500.  0.0  0.0   0.2685
 3.50  8500.  0.0  0.0   0.2900
 3.50  8500.  0.0  0.0   0.0107
 4.00  8500.  0.0  0.0   0.2716
 4.00  8500.  0.0  0.0   0.2873
 4.00  8500.  0.0  0.0   0.0098
 4.50  8500.  0.0  0.0   0.2498
 4.50  8500.  0.0  0.0   0.3087
 4.50  8500.  0.0  0.0   0.0093
 5.00  8500.  0.0  0.0   0.1976
 5.00  8500.  0.0  0.0   0.3484
 5.00  8500.  0.0  0.0   0.0134
 1.50  8750.  0.0  0.0   0.2846
 1.50  8750.  0.0  0.0   0.2803
 1.50  8750.  0.0  0.0   0.0093
 2.00  8750.  0.0  0.0   0.2649
 2.00  8750.  0.0  0.0   0.2915
 2.00  8750.  0.0  0.0   0.0110
 2.50  8750.  0.0  0.0   0.2554
 2.50  8750.  0.0  0.0   0.2943
 2.50  8750.  0.0  0.0   0.0118
 3.00  8750.  0.0  0.0   0.2509
 3.00  8750.  0.0  0.0   0.2946
 3.00  8750.  0.0  0.0   0.0120
 3.50  8750.  0.0  0.0   0.2520
 3.50  8750.  0.0  0.0   0.2916
 3.50  8750.  0.0  0.0   0.0117
 4.00  8750.  0.0  0.0   0.2539
 4.00  8750.  0.0  0.0   0.2893
 4.00  8750.  0.0  0.0   0.0111
 4.50  8750.  0.0  0.0   0.2534
 4.50  8750.  0.0  0.0   0.2907
 4.50  8750.  0.0  0.0   0.0102
 5.00  8750.  0.0  0.0   0.2180
 5.00  8750.  0.0  0.0   0.3249
 5.00  8750.  0.0  0.0   0.0107
 1.50  9000.  0.0  0.0   0.2797
 1.50  9000.  0.0  0.0   0.2802
 1.50  9000.  0.0  0.0   0.0094
 2.00  9000.  0.0  0.0   0.2566
 2.00  9000.  0.0  0.0   0.2929
 2.00  9000.  0.0  0.0   0.0113
 2.50  9000.  0.0  0.0   0.2449
 2.50  9000.  0.0  0.0   0.2963
 2.50  9000.  0.0  0.0   0.0123
 3.00  9000.  0.0  0.0   0.2393
 3.00  9000.  0.0  0.0   0.2960
 3.00  9000.  0.0  0.0   0.0126
 3.50  9000.  0.0  0.0   0.2378
 3.50  9000.  0.0  0.0   0.2939
 3.50  9000.  0.0  0.0   0.0124
 4.00  9000.  0.0  0.0   0.2383
 4.00  9000.  0.0  0.0   0.2914
 4.00  9000.  0.0  0.0   0.0119
 4.50  9000.  0.0  0.0   0.2408
 4.50  9000.  0.0  0.0   0.2885
 4.50  9000.  0.0  0.0   0.0112
 5.00  9000.  0.0  0.0   0.2454
 5.00  9000.  0.0  0.0   0.2843
 5.00  9000.  0.0  0.0   0.0105
 2.00  9250.  0.0  0.0   0.2493
 2.00  9250.  0.0  0.0   0.2943
 2.00  9250.  0.0  0.0   0.0116
 2.50  9250.  0.0  0.0   0.2363
 2.50  9250.  0.0  0.0   0.2979
 2.50  9250.  0.0  0.0   0.0127
 3.00  9250.  0.0  0.0   0.2298
 3.00  9250.  0.0  0.0   0.2975
 3.00  9250.  0.0  0.0   0.0131
 3.50  9250.  0.0  0.0   0.2271
 3.50  9250.  0.0  0.0   0.2954
 3.50  9250.  0.0  0.0   0.0130
 4.00  9250.  0.0  0.0   0.2265
 4.00  9250.  0.0  0.0   0.2927
 4.00  9250.  0.0  0.0   0.0126
 4.50  9250.  0.0  0.0   0.2272
 4.50  9250.  0.0  0.0   0.2901
 4.50  9250.  0.0  0.0   0.0120
 5.00  9250.  0.0  0.0   0.2295
 5.00  9250.  0.0  0.0   0.2869
 5.00  9250.  0.0  0.0   0.0114
 2.00  9500.  0.0  0.0   0.2421
 2.00  9500.  0.0  0.0   0.2961
 2.00  9500.  0.0  0.0   0.0119
 2.50  9500.  0.0  0.0   0.2284
 2.50  9500.  0.0  0.0   0.2994
 2.50  9500.  0.0  0.0   0.0130
 3.00  9500.  0.0  0.0   0.2216
 3.00  9500.  0.0  0.0   0.2986
 3.00  9500.  0.0  0.0   0.0135
 3.50  9500.  0.0  0.0   0.2181
 3.50  9500.  0.0  0.0   0.2967
 3.50  9500.  0.0  0.0   0.0135
 4.00  9500.  0.0  0.0   0.2167
 4.00  9500.  0.0  0.0   0.2941
 4.00  9500.  0.0  0.0   0.0132
 4.50  9500.  0.0  0.0   0.2163
 4.50  9500.  0.0  0.0   0.2915
 4.50  9500.  0.0  0.0   0.0127
 5.00  9500.  0.0  0.0   0.2171
 5.00  9500.  0.0  0.0   0.2883
 5.00  9500.  0.0  0.0   0.0122
 2.00  9750.  0.0  0.0   0.2349
 2.00  9750.  0.0  0.0   0.2981
 2.00  9750.  0.0  0.0   0.0123
 2.50  9750.  0.0  0.0   0.2206
 2.50  9750.  0.0  0.0   0.3009
 2.50  9750.  0.0  0.0   0.0134
 3.00  9750.  0.0  0.0   0.2136
 3.00  9750.  0.0  0.0   0.2997
 3.00  9750.  0.0  0.0   0.0139
 3.50  9750.  0.0  0.0   0.2102
 3.50  9750.  0.0  0.0   0.2974
 3.50  9750.  0.0  0.0   0.0139
 4.00  9750.  0.0  0.0   0.2083
 4.00  9750.  0.0  0.0   0.2950
 4.00  9750.  0.0  0.0   0.0138
 4.50  9750.  0.0  0.0   0.2069
 4.50  9750.  0.0  0.0   0.2929
 4.50  9750.  0.0  0.0   0.0133
 5.00  9750.  0.0  0.0   0.2066
 5.00  9750.  0.0  0.0   0.2902
 5.00  9750.  0.0  0.0   0.0128
 2.00 10000.  0.0  0.0   0.2285
 2.00 10000.  0.0  0.0   0.2993
 2.00 10000.  0.0  0.0   0.0128
 2.50 10000.  0.0  0.0   0.2136
 2.50 10000.  0.0  0.0   0.3019
 2.50 10000.  0.0  0.0   0.0138
 3.00 10000.  0.0  0.0   0.2063
 3.00 10000.  0.0  0.0   0.3007
 3.00 10000.  0.0  0.0   0.0142
 3.50 10000.  0.0  0.0   0.2027
 3.50 10000.  0.0  0.0   0.2982
 3.50 10000.  0.0  0.0   0.0142
 4.00 10000.  0.0  0.0   0.2017
 4.00 10000.  0.0  0.0   0.2948
 4.00 10000.  0.0  0.0   0.0141
 4.50 10000.  0.0  0.0   0.2000
 4.50 10000.  0.0  0.0   0.2928
 4.50 10000.  0.0  0.0   0.0139
 5.00 10000.  0.0  0.0   0.1981
 5.00 10000.  0.0  0.0   0.2913
 5.00 10000.  0.0  0.0   0.0134
 2.00 10250.  0.0  0.0   0.2225
 2.00 10250.  0.0  0.0   0.3004
 2.00 10250.  0.0  0.0   0.0134
 2.50 10250.  0.0  0.0   0.2067
 2.50 10250.  0.0  0.0   0.3027
 2.50 10250.  0.0  0.0   0.0143
 3.00 10250.  0.0  0.0   0.1995
 3.00 10250.  0.0  0.0   0.3011
 3.00 10250.  0.0  0.0   0.0145
 3.50 10250.  0.0  0.0   0.1961
 3.50 10250.  0.0  0.0   0.2983
 3.50 10250.  0.0  0.0   0.0145
 4.00 10250.  0.0  0.0   0.1943
 4.00 10250.  0.0  0.0   0.2957
 4.00 10250.  0.0  0.0   0.0144
 4.50 10250.  0.0  0.0   0.1922
 4.50 10250.  0.0  0.0   0.2941
 4.50 10250.  0.0  0.0   0.0143
 5.00 10250.  0.0  0.0   0.1912
 5.00 10250.  0.0  0.0   0.2918
 5.00 10250.  0.0  0.0   0.0139
 2.00 10500.  0.0  0.0   0.2167
 2.00 10500.  0.0  0.0   0.3012
 2.00 10500.  0.0  0.0   0.0139
 2.50 10500.  0.0  0.0   0.2001
 2.50 10500.  0.0  0.0   0.3032
 2.50 10500.  0.0  0.0   0.0148
 3.00 10500.  0.0  0.0   0.1928
 3.00 10500.  0.0  0.0   0.3013
 3.00 10500.  0.0  0.0   0.0148
 3.50 10500.  0.0  0.0   0.1899
 3.50 10500.  0.0  0.0   0.2980
 3.50 10500.  0.0  0.0   0.0147
 4.00 10500.  0.0  0.0   0.1882
 4.00 10500.  0.0  0.0   0.2953
 4.00 10500.  0.0  0.0   0.0146
 4.50 10500.  0.0  0.0   0.1864
 4.50 10500.  0.0  0.0   0.2935
 4.50 10500.  0.0  0.0   0.0145
 5.00 10500.  0.0  0.0   0.1843
 5.00 10500.  0.0  0.0   0.2921
 5.00 10500.  0.0  0.0   0.0143
 2.00 10750.  0.0  0.0   0.2118
 2.00 10750.  0.0  0.0   0.3018
 2.00 10750.  0.0  0.0   0.0144
 2.50 10750.  0.0  0.0   0.1940
 2.50 10750.  0.0  0.0   0.3032
 2.50 10750.  0.0  0.0   0.0152
 3.00 10750.  0.0  0.0   0.1866
 3.00 10750.  0.0  0.0   0.3010
 3.00 10750.  0.0  0.0   0.0152
 3.50 10750.  0.0  0.0   0.1838
 3.50 10750.  0.0  0.0   0.2978
 3.50 10750.  0.0  0.0   0.0149
 4.00 10750.  0.0  0.0   0.1826
 4.00 10750.  0.0  0.0   0.2948
 4.00 10750.  0.0  0.0   0.0148
 4.50 10750.  0.0  0.0   0.1809
 4.50 10750.  0.0  0.0   0.2930
 4.50 10750.  0.0  0.0   0.0147
 5.00 10750.  0.0  0.0   0.1787
 5.00 10750.  0.0  0.0   0.2918
 5.00 10750.  0.0  0.0   0.0146
 2.00 11000.  0.0  0.0   0.2077
 2.00 11000.  0.0  0.0   0.3019
 2.00 11000.  0.0  0.0   0.0149
 2.50 11000.  0.0  0.0   0.1886
 2.50 11000.  0.0  0.0   0.3026
 2.50 11000.  0.0  0.0   0.0157
 3.00 11000.  0.0  0.0   0.1809
 3.00 11000.  0.0  0.0   0.3000
 3.00 11000.  0.0  0.0   0.0156
 3.50 11000.  0.0  0.0   0.1781
 3.50 11000.  0.0  0.0   0.2968
 3.50 11000.  0.0  0.0   0.0152
 4.00 11000.  0.0  0.0   0.1771
