 log g Teff   ZR   Vel  a(CHEOPS)
 log g Teff   ZR   Vel  b(CHEOPS)
 log g Teff   ZR   Vel  xi(CHEOPS)
 0.00  5250. -5.0  2.0   0.1213
 0.00  5250. -5.0  2.0   0.0022
 0.50  5250. -5.0  2.0   0.4892
 0.50  5250. -5.0  2.0   0.1391
 0.50  5250. -5.0  2.0   0.0025
 1.00  5250. -5.0  2.0   0.4617
 1.00  5250. -5.0  2.0   0.1665
 1.00  5250. -5.0  2.0   0.0034
 1.50  5250. -5.0  2.0   0.4280
 1.50  5250. -5.0  2.0   0.1999
 1.50  5250. -5.0  2.0   0.0049
 2.00  5250. -5.0  2.0   0.3922
 2.00  5250. -5.0  2.0   0.2356
 2.00  5250. -5.0  2.0   0.0066
 2.50  5250. -5.0  2.0   0.3586
 2.50  5250. -5.0  2.0   0.2686
 2.50  5250. -5.0  2.0   0.0083
 3.00  5250. -5.0  2.0   0.3274
 3.00  5250. -5.0  2.0   0.2987
 3.00  5250. -5.0  2.0   0.0098
 3.50  5250. -5.0  2.0   0.2978
 3.50  5250. -5.0  2.0   0.3241
 3.50  5250. -5.0  2.0   0.0124
 4.00  5250. -5.0  2.0   0.2802
 4.00  5250. -5.0  2.0   0.3388
 4.00  5250. -5.0  2.0   0.0135
 4.50  5250. -5.0  2.0   0.2393
 4.50  5250. -5.0  2.0   0.3646
 4.50  5250. -5.0  2.0   0.0196
 5.00  5250. -5.0  2.0   0.1794
 5.00  5250. -5.0  2.0   0.3973
 5.00  5250. -5.0  2.0   0.0345
 0.00  5500. -5.0  2.0   0.4680
 0.00  5500. -5.0  2.0   0.1550
 0.00  5500. -5.0  2.0   0.0029
 0.50  5500. -5.0  2.0   0.4574
 0.50  5500. -5.0  2.0   0.1661
 0.50  5500. -5.0  2.0   0.0036
 1.00  5500. -5.0  2.0   0.4398
 1.00  5500. -5.0  2.0   0.1844
 1.00  5500. -5.0  2.0   0.0044
 1.50  5500. -5.0  2.0   0.4152
 1.50  5500. -5.0  2.0   0.2087
 1.50  5500. -5.0  2.0   0.0056
 2.00  5500. -5.0  2.0   0.3877
 2.00  5500. -5.0  2.0   0.2366
 2.00  5500. -5.0  2.0   0.0067
 2.50  5500. -5.0  2.0   0.3586
 2.50  5500. -5.0  2.0   0.2655
 2.50  5500. -5.0  2.0   0.0078
 3.00  5500. -5.0  2.0   0.3324
 3.00  5500. -5.0  2.0   0.2905
 3.00  5500. -5.0  2.0   0.0088
 3.50  5500. -5.0  2.0   0.3096
 3.50  5500. -5.0  2.0   0.3119
 3.50  5500. -5.0  2.0   0.0098
 4.00  5500. -5.0  2.0   0.2850
 4.00  5500. -5.0  2.0   0.3309
 4.00  5500. -5.0  2.0   0.0122
 4.50  5500. -5.0  2.0   0.2569
 4.50  5500. -5.0  2.0   0.3490
 4.50  5500. -5.0  2.0   0.0166
 5.00  5500. -5.0  2.0   0.2190
 5.00  5500. -5.0  2.0   0.3732
 5.00  5500. -5.0  2.0   0.0232
 0.00  5750. -5.0  2.0   0.6002
 0.00  5750. -5.0  2.0   0.0426
 0.00  5750. -5.0  2.0   0.0002
 0.50  5750. -5.0  2.0   0.4279
 0.50  5750. -5.0  2.0   0.1946
 0.50  5750. -5.0  2.0   0.0033
 1.00  5750. -5.0  2.0   0.4125
 1.00  5750. -5.0  2.0   0.2060
 1.00  5750. -5.0  2.0   0.0056
 1.50  5750. -5.0  2.0   0.3983
 1.50  5750. -5.0  2.0   0.2209
 1.50  5750. -5.0  2.0   0.0063
 2.00  5750. -5.0  2.0   0.3784
 2.00  5750. -5.0  2.0   0.2411
 2.00  5750. -5.0  2.0   0.0071
 2.50  5750. -5.0  2.0   0.3561
 2.50  5750. -5.0  2.0   0.2630
 2.50  5750. -5.0  2.0   0.0076
 3.00  5750. -5.0  2.0   0.3352
 3.00  5750. -5.0  2.0   0.2834
 3.00  5750. -5.0  2.0   0.0080
 3.50  5750. -5.0  2.0   0.3137
 3.50  5750. -5.0  2.0   0.3031
 3.50  5750. -5.0  2.0   0.0085
 4.00  5750. -5.0  2.0   0.2951
 4.00  5750. -5.0  2.0   0.3189
 4.00  5750. -5.0  2.0   0.0095
 4.50  5750. -5.0  2.0   0.2707
 4.50  5750. -5.0  2.0   0.3365
 4.50  5750. -5.0  2.0   0.0124
 5.00  5750. -5.0  2.0   0.2404
 5.00  5750. -5.0  2.0   0.3568
 5.00  5750. -5.0  2.0   0.0168
 0.00  6000. -5.0  2.0   0.5749
 0.00  6000. -5.0  2.0   0.0674
 0.00  6000. -5.0  2.0   0.0002
 0.50  6000. -5.0  2.0   0.5720
 0.50  6000. -5.0  2.0   0.0712
 0.50  6000. -5.0  2.0   0.0001
 1.00  6000. -5.0  2.0   0.4196
 1.00  6000. -5.0  2.0   0.1995
 1.00  6000. -5.0  2.0   0.0039
 1.50  6000. -5.0  2.0   0.3776
 1.50  6000. -5.0  2.0   0.2359
 1.50  6000. -5.0  2.0   0.0069
 2.00  6000. -5.0  2.0   0.3648
 2.00  6000. -5.0  2.0   0.2486
 2.00  6000. -5.0  2.0   0.0075
 2.50  6000. -5.0  2.0   0.3500
 2.50  6000. -5.0  2.0   0.2631
 2.50  6000. -5.0  2.0   0.0075
 3.00  6000. -5.0  2.0   0.3335
 3.00  6000. -5.0  2.0   0.2787
 3.00  6000. -5.0  2.0   0.0076
 3.50  6000. -5.0  2.0   0.3152
 3.50  6000. -5.0  2.0   0.2959
 3.50  6000. -5.0  2.0   0.0078
 4.00  6000. -5.0  2.0   0.3022
 4.00  6000. -5.0  2.0   0.3079
 4.00  6000. -5.0  2.0   0.0077
 4.50  6000. -5.0  2.0   0.2837
 4.50  6000. -5.0  2.0   0.3219
 4.50  6000. -5.0  2.0   0.0091
 5.00  6000. -5.0  2.0   0.2571
 5.00  6000. -5.0  2.0   0.3412
 5.00  6000. -5.0  2.0   0.0120
 0.50  6250. -5.0  2.0   0.5447
 0.50  6250. -5.0  2.0   0.0973
 0.50  6250. -5.0  2.0   0.0001
 1.00  6250. -5.0  2.0   0.5418
 1.00  6250. -5.0  2.0   0.0991
 1.00  6250. -5.0  2.0   0.0001
 1.50  6250. -5.0  2.0   0.3822
 1.50  6250. -5.0  2.0   0.2300
 1.50  6250. -5.0  2.0   0.0052
 2.00  6250. -5.0  2.0   0.3489
 2.00  6250. -5.0  2.0   0.2586
 2.00  6250. -5.0  2.0   0.0071
 2.50  6250. -5.0  2.0   0.3394
 2.50  6250. -5.0  2.0   0.2674
 2.50  6250. -5.0  2.0   0.0072
 3.00  6250. -5.0  2.0   0.3277
 3.00  6250. -5.0  2.0   0.2782
 3.00  6250. -5.0  2.0   0.0071
 3.50  6250. -5.0  2.0   0.3149
 3.50  6250. -5.0  2.0   0.2903
 3.50  6250. -5.0  2.0   0.0069
 4.00  6250. -5.0  2.0   0.3013
 4.00  6250. -5.0  2.0   0.3024
 4.00  6250. -5.0  2.0   0.0070
 4.50  6250. -5.0  2.0   0.2836
 4.50  6250. -5.0  2.0   0.3163
 4.50  6250. -5.0  2.0   0.0082
 5.00  6250. -5.0  2.0   0.2687
 5.00  6250. -5.0  2.0   0.3274
 5.00  6250. -5.0  2.0   0.0092
 0.50  6500. -5.0  2.0   0.5247
 0.50  6500. -5.0  2.0   0.1153
 0.50  6500. -5.0  2.0   0.0002
 1.00  6500. -5.0  2.0   0.5133
 1.00  6500. -5.0  2.0   0.1254
 1.00  6500. -5.0  2.0   0.0001
 1.50  6500. -5.0  2.0   0.5102
 1.50  6500. -5.0  2.0   0.1254
 1.50  6500. -5.0  2.0   0.0001
 2.00  6500. -5.0  2.0   0.3479
 2.00  6500. -5.0  2.0   0.2547
 2.00  6500. -5.0  2.0   0.0063
 2.50  6500. -5.0  2.0   0.3206
 2.50  6500. -5.0  2.0   0.2775
 2.50  6500. -5.0  2.0   0.0076
 3.00  6500. -5.0  2.0   0.3172
 3.00  6500. -5.0  2.0   0.2808
 3.00  6500. -5.0  2.0   0.0071
 3.50  6500. -5.0  2.0   0.3091
 3.50  6500. -5.0  2.0   0.2888
 3.50  6500. -5.0  2.0   0.0067
 4.00  6500. -5.0  2.0   0.2994
 4.00  6500. -5.0  2.0   0.2976
 4.00  6500. -5.0  2.0   0.0065
 4.50  6500. -5.0  2.0   0.2879
 4.50  6500. -5.0  2.0   0.3072
 4.50  6500. -5.0  2.0   0.0068
 5.00  6500. -5.0  2.0   0.2710
 5.00  6500. -5.0  2.0   0.3200
 5.00  6500. -5.0  2.0   0.0080
 0.50  6750. -5.0  2.0   0.4930
 0.50  6750. -5.0  2.0   0.1451
 0.50  6750. -5.0  2.0   0.0003
 1.00  6750. -5.0  2.0   0.4913
 1.00  6750. -5.0  2.0   0.1441
 1.00  6750. -5.0  2.0   0.0003
 1.50  6750. -5.0  2.0   0.4806
 1.50  6750. -5.0  2.0   0.1516
 1.50  6750. -5.0  2.0   0.0001
 2.00  6750. -5.0  2.0   0.4801
 2.00  6750. -5.0  2.0   0.1474
 2.00  6750. -5.0  2.0   0.0001
 2.50  6750. -5.0  2.0   0.3184
 2.50  6750. -5.0  2.0   0.2740
 2.50  6750. -5.0  2.0   0.0072
 3.00  6750. -5.0  2.0   0.2996
 3.00  6750. -5.0  2.0   0.2906
 3.00  6750. -5.0  2.0   0.0074
 3.50  6750. -5.0  2.0   0.2979
 3.50  6750. -5.0  2.0   0.2922
 3.50  6750. -5.0  2.0   0.0068
 4.00  6750. -5.0  2.0   0.2922
 4.00  6750. -5.0  2.0   0.2974
 4.00  6750. -5.0  2.0   0.0065
 4.50  6750. -5.0  2.0   0.2851
 4.50  6750. -5.0  2.0   0.3036
 4.50  6750. -5.0  2.0   0.0064
 5.00  6750. -5.0  2.0   0.2731
 5.00  6750. -5.0  2.0   0.3131
 5.00  6750. -5.0  2.0   0.0069
 0.50  7000. -5.0  2.0   0.4512
 0.50  7000. -5.0  2.0   0.1830
 0.50  7000. -5.0  2.0   0.0006
 1.00  7000. -5.0  2.0   0.4569
 1.00  7000. -5.0  2.0   0.1744
 1.00  7000. -5.0  2.0   0.0006
 1.50  7000. -5.0  2.0   0.4579
 1.50  7000. -5.0  2.0   0.1693
 1.50  7000. -5.0  2.0   0.0005
 2.00  7000. -5.0  2.0   0.4496
 2.00  7000. -5.0  2.0   0.1737
 2.00  7000. -5.0  2.0   0.0002
 2.50  7000. -5.0  2.0   0.4504
 2.50  7000. -5.0  2.0   0.1681
 2.50  7000. -5.0  2.0   0.0001
 3.00  7000. -5.0  2.0   0.2940
 3.00  7000. -5.0  2.0   0.2899
 3.00  7000. -5.0  2.0   0.0075
 3.50  7000. -5.0  2.0   0.2827
 3.50  7000. -5.0  2.0   0.2997
 3.50  7000. -5.0  2.0   0.0072
 4.00  7000. -5.0  2.0   0.2811
 4.00  7000. -5.0  2.0   0.3011
 4.00  7000. -5.0  2.0   0.0067
 4.50  7000. -5.0  2.0   0.2781
 4.50  7000. -5.0  2.0   0.3037
 4.50  7000. -5.0  2.0   0.0064
 5.00  7000. -5.0  2.0   0.2692
 5.00  7000. -5.0  2.0   0.3106
 5.00  7000. -5.0  2.0   0.0066
 1.00  7250. -5.0  2.0   0.4135
 1.00  7250. -5.0  2.0   0.2113
