 logg  teff   ZR    a(CHEOPS)
 logg  teff   ZR    b(CHEOPS)
 logg  Teff   ZR    mucri(Cheops) 
 logg  teff   ZR    xi(CHEOPS)
 6.00  3600.  0.0   0.04277
 3.00  3700.  0.0   0.78135
 3.00  3700.  0.0   0.02640
 3.00  3700.  0.0   0.11957
 3.00  3700.  0.0   0.00944
 3.50  3700.  0.0   0.64964
 3.50  3700.  0.0   0.13681
 3.50  3700.  0.0   0.09190
 3.50  3700.  0.0   0.00782
 4.00  3700.  0.0   0.46748
 4.00  3700.  0.0   0.28601
 4.00  3700.  0.0   0.06712
 4.00  3700.  0.0   0.01176
 4.50  3700.  0.0   0.33191
 4.50  3700.  0.0   0.38218
 4.50  3700.  0.0   0.05184
 4.50  3700.  0.0   0.01826
 5.00  3700.  0.0   0.25071
 5.00  3700.  0.0   0.43297
 5.00  3700.  0.0   0.03766
 5.00  3700.  0.0   0.02672
 5.50  3700.  0.0   0.20411
 5.50  3700.  0.0   0.45660
 5.50  3700.  0.0   0.02770
 5.50  3700.  0.0   0.03407
 6.00  3700.  0.0   0.17623
 6.00  3700.  0.0   0.47711
 6.00  3700.  0.0   0.02038
 6.00  3700.  0.0   0.04323
 3.00  3800.  0.0   0.78028
 3.00  3800.  0.0   0.02686
 3.00  3800.  0.0   0.12182
 3.00  3800.  0.0   0.00676
 3.50  3800.  0.0   0.69495
 3.50  3800.  0.0   0.09700
 3.50  3800.  0.0   0.09262
 3.50  3800.  0.0   0.00685
 4.00  3800.  0.0   0.52074
 4.00  3800.  0.0   0.23812
 4.00  3800.  0.0   0.06773
 4.00  3800.  0.0   0.00997
 4.50  3800.  0.0   0.35721
 4.50  3800.  0.0   0.35586
 4.50  3800.  0.0   0.05243
 4.50  3800.  0.0   0.01716
 5.00  3800.  0.0   0.25920
 5.00  3800.  0.0   0.41404
 5.00  3800.  0.0   0.03871
 5.00  3800.  0.0   0.02471
 5.50  3800.  0.0   0.20379
 5.50  3800.  0.0   0.44561
 5.50  3800.  0.0   0.02818
 5.50  3800.  0.0   0.03303
 6.00  3800.  0.0   0.17072
 6.00  3800.  0.0   0.46790
 6.00  3800.  0.0   0.02053
 6.00  3800.  0.0   0.04284
 3.00  3900.  0.0   0.76999
 3.00  3900.  0.0   0.03347
 3.00  3900.  0.0   0.12394
 3.00  3900.  0.0   0.00527
 3.50  3900.  0.0   0.74231
 3.50  3900.  0.0   0.04001
 3.50  3900.  0.0   0.09448
 3.50  3900.  0.0   0.00383
 4.00  3900.  0.0   0.57498
 4.00  3900.  0.0   0.18082
 4.00  3900.  0.0   0.06910
 4.00  3900.  0.0   0.00798
 4.50  3900.  0.0   0.40105
 4.50  3900.  0.0   0.31253
 4.50  3900.  0.0   0.05289
 4.50  3900.  0.0   0.01486
 5.00  3900.  0.0   0.28046
 5.00  3900.  0.0   0.39304
 5.00  3900.  0.0   0.03910
 5.00  3900.  0.0   0.02322
 5.50  3900.  0.0   0.21159
 5.50  3900.  0.0   0.42919
 5.50  3900.  0.0   0.02857
 5.50  3900.  0.0   0.03103
 6.00  3900.  0.0   0.17272
 6.00  3900.  0.0   0.45472
 6.00  3900.  0.0   0.02086
 6.00  3900.  0.0   0.04058
 3.00  4000.  0.0   0.75382
 3.00  4000.  0.0   0.05227
 3.00  4000.  0.0   0.12305
 3.00  4000.  0.0   0.00531
 3.50  4000.  0.0   0.74956
 3.50  4000.  0.0   0.03814
 3.50  4000.  0.0   0.09381
 3.50  4000.  0.0   0.00532
 4.00  4000.  0.0   0.63458
 4.00  4000.  0.0   0.12771
 4.00  4000.  0.0   0.06952
 4.00  4000.  0.0   0.00588
 4.50  4000.  0.0   0.46059
 4.50  4000.  0.0   0.26183
 4.50  4000.  0.0   0.05325
 4.50  4000.  0.0   0.01248
 5.00  4000.  0.0   0.31679
 5.00  4000.  0.0   0.35891
 5.00  4000.  0.0   0.03896
 5.00  4000.  0.0   0.02066
 5.50  4000.  0.0   0.22905
 5.50  4000.  0.0   0.41072
 5.50  4000.  0.0   0.02886
