# BJD_TDB RV err_RV FWHM err_FWHM BIS_SPAN err_BIS Contrast err_Contrast S-index err_S-index Ha err_Ha
# (d) (m/s) (m/s) (km/s) (km/s) (m/s) (m/s) (-) (-) (-) (-) (dex) (dex)
2458975.44358 79707.35 1.17 6.4206 0.0023 -86.46 2.34 59.569 0.022 0.1699 0.0005 0.2129 0.0002
2458976.42110 79712.29 0.78 6.4134 0.0016 -84.92 1.57 59.780 0.015 0.1696 0.0002 0.2109 0.0001
2458977.43746 79708.61 0.77 6.4181 0.0015 -86.13 1.55 59.784 0.014 0.1707 0.0002 0.2137 0.0001
2458978.42543 79705.38 1.19 6.4121 0.0024 -83.54 2.38 59.865 0.022 0.1643 0.0005 0.2111 0.0002
2458979.43931 79709.20 1.01 6.4173 0.0020 -85.73 2.03 59.935 0.019 0.1676 0.0004 0.2071 0.0001
2458982.39193 79704.18 1.07 6.4184 0.0021 -79.19 2.13 59.878 0.020 0.1654 0.0004 0.2103 0.0002
2458983.41787 79703.11 1.86 6.4131 0.0037 -82.43 3.72 60.023 0.035 0.1643 0.0012 0.2105 0.0003
2458985.44329 79703.91 1.34 6.4119 0.0027 -87.84 2.68 59.960 0.025 0.1641 0.0007 0.2060 0.0002
2458987.39860 79701.47 1.68 6.4171 0.0034 -82.42 3.36 59.938 0.031 0.1596 0.0010 0.2064 0.0003
2458988.40807 79705.08 1.27 6.4206 0.0025 -84.69 2.55 59.962 0.024 0.1635 0.0006 0.2064 0.0002
2458989.40748 79706.95 1.21 6.4174 0.0024 -88.78 2.42 59.912 0.023 0.1657 0.0006 0.2054 0.0002
2458990.40835 79700.62 0.85 6.4171 0.0017 -87.60 1.70 59.855 0.016 0.1686 0.0003 0.2111 0.0001
2458992.42169 79696.63 1.19 6.4179 0.0024 -87.85 2.37 59.941 0.022 0.1649 0.0006 0.2068 0.0002
2458993.42184 79696.73 1.12 6.4190 0.0022 -82.62 2.23 59.907 0.021 0.1724 0.0005 0.2111 0.0002
2458999.38869 79708.36 1.39 6.4110 0.0028 -86.81 2.78 59.733 0.026 0.1703 0.0007 0.2107 0.0002
2459001.37000 79705.87 1.11 6.4162 0.0022 -81.98 2.22 60.055 0.021 0.1680 0.0006 0.2064 0.0001
2459007.37783 79704.52 0.79 6.4130 0.0016 -83.98 1.58 59.690 0.015 0.1693 0.0003 0.2106 0.0001
2459008.37634 79699.69 0.78 6.4156 0.0016 -85.75 1.55 59.658 0.014 0.1694 0.0002 0.2156 0.0001
2459009.37682 79702.56 0.91 6.4154 0.0018 -82.23 1.82 59.644 0.017 0.1658 0.0003 0.2205 0.0002
2459014.37845 79697.97 0.96 6.4091 0.0019 -83.65 1.92 59.493 0.018 0.1720 0.0004 0.2071 0.0001
2459169.72829 79695.38 1.64 6.4135 0.0033 -88.36 3.28 60.042 0.031 0.1622 0.0009 0.2016 0.0003
2459170.74337 79699.73 2.02 6.4086 0.0040 -90.33 4.04 59.865 0.038 0.1653 0.0012 0.2084 0.0004
2459172.75273 79692.55 0.85 6.4152 0.0017 -84.62 1.71 59.876 0.016 0.1697 0.0003 0.2073 0.0001
2459203.74302 79707.47 1.05 6.4171 0.0021 -81.98 2.11 59.918 0.020 0.1687 0.0004 0.2031 0.0002
2459212.62212 79708.30 1.16 6.4160 0.0023 -83.06 2.33 59.797 0.022 0.1650 0.0005 0.2044 0.0002
2459215.71887 79704.14 0.98 6.4191 0.0020 -86.23 1.95 59.738 0.018 0.1695 0.0004 0.2049 0.0001
2459216.74584 79701.76 1.78 6.4202 0.0036 -84.91 3.56 58.519 0.032 0.1673 0.0009 0.2211 0.0004
2459239.65287 79694.91 0.78 6.4131 0.0016 -88.25 1.55 59.829 0.014 0.1693 0.0002 0.2083 0.0001
2459253.54276 79693.92 0.84 6.4104 0.0017 -85.33 1.68 59.882 0.016 0.1689 0.0003 0.2083 0.0001
2459253.70313 79696.98 0.84 6.4127 0.0017 -86.07 1.68 59.852 0.016 0.1702 0.0003 0.2081 0.0001
2459254.58133 79697.04 0.72 6.4155 0.0014 -83.90 1.43 59.827 0.013 0.1687 0.0002 0.2108 0.0001
2459254.60341 79695.07 0.75 6.4151 0.0015 -85.32 1.49 59.824 0.014 0.1715 0.0002 0.2105 0.0001
2459254.62385 79696.99 0.77 6.4161 0.0015 -84.42 1.54 59.817 0.014 0.1720 0.0002 0.2084 0.0001
2459254.64545 79698.23 0.83 6.4120 0.0017 -87.18 1.66 59.892 0.016 0.1720 0.0003 0.2077 0.0001
2459254.66654 79700.28 0.77 6.4137 0.0015 -86.04 1.54 59.837 0.014 0.1707 0.0003 0.2085 0.0001
2459254.68798 79699.26 0.80 6.4155 0.0016 -86.71 1.61 59.829 0.015 0.1691 0.0003 0.2107 0.0001
2459255.50157 79701.67 0.86 6.4212 0.0017 -83.25 1.72 59.811 0.016 0.1685 0.0003 0.2079 0.0001
2459255.68628 79702.09 1.00 6.4190 0.0020 -83.84 2.00 59.845 0.019 0.1708 0.0004 0.2047 0.0001
2459256.56612 79701.38 0.96 6.4212 0.0019 -86.59 1.91 59.847 0.018 0.1706 0.0004 0.2087 0.0001
2459256.58742 79697.77 0.95 6.4168 0.0019 -84.55 1.90 59.856 0.018 0.1712 0.0004 0.2077 0.0001
2459256.60847 79700.06 0.95 6.4138 0.0019 -86.93 1.89 59.865 0.018 0.1680 0.0003 0.2099 0.0001
2459256.62959 79699.26 0.88 6.4153 0.0018 -86.89 1.75 59.859 0.016 0.1697 0.0003 0.2075 0.0001
2459256.65036 79700.33 0.94 6.4205 0.0019 -84.53 1.88 59.874 0.018 0.1724 0.0004 0.2073 0.0001
2459256.67195 79698.63 1.00 6.4147 0.0020 -83.54 2.00 59.890 0.019 0.1664 0.0004 0.2065 0.0001
2459258.64211 79703.17 0.90 6.4237 0.0018 -86.08 1.80 59.844 0.017 0.1694 0.0003 0.2081 0.0001
2459258.67847 79705.00 1.00 6.4183 0.0020 -87.08 2.01 59.860 0.019 0.1720 0.0004 0.2093 0.0001
2459259.69483 79703.15 1.34 6.4130 0.0027 -85.01 2.69 59.907 0.025 0.1665 0.0007 0.2081 0.0002
2459261.53792 79696.08 0.95 6.4138 0.0019 -80.47 1.91 59.872 0.018 0.1696 0.0004 0.2082 0.0001
2459275.55581 79693.12 1.07 6.4172 0.0021 -90.05 2.14 59.795 0.020 0.1709 0.0004 0.2098 0.0002
2459276.46152 79698.10 0.84 6.4161 0.0017 -86.59 1.67 59.819 0.016 0.1685 0.0003 0.2155 0.0002
