,dens_ic,dens_ic_em,dens_ic_ep,dens_iso,dens_iso_em,dens_iso_ep,dens_real,dens_real_em,dens_real_ep,log_dens_ic,log_dens_ic_em,log_dens_ic_ep,log_dens_iso,log_dens_iso_em,log_dens_iso_ep,log_dens_real,log_dens_real_em,log_dens_real_ep
6225718.0,0.6224663359319631,-0.02524450744153083,0.02184975194897236,0.49703392512242545,0.08841654115308627,0.11784192140581494,0.6221126495998919,-0.046320874559361735,0.04972789521349197,-0.20588413100221883,0.01798019616767721,0.014983106350873993,-0.30361396742232694,0.08506919352804049,0.09240140090358412,-0.2061309679298285,0.03360357520998433,0.03339717740479309
6603624.0,0.6538625088589652,-0.023607370659107015,0.02761871013465627,,,,0.6708520121867512,-0.08457320458132145,0.09389071567013352,-0.18451356348209996,0.01597004153831913,0.01796745505436756,,,,-0.17337327324244192,0.05852253086094661,0.05688862909642152
6933899.0,0.29447200566973775,-0.017725017717930548,0.018858965272856132,0.26524845737487024,0.07515139485505135,0.06779488724356719,0.2835745397048823,-0.0068797926935830755,0.007046370621306863,-0.5309559856342181,0.026961111546829786,0.026959310119158753,-0.5763471331779116,0.1446774608524366,0.09884789252083437,-0.5473327641872857,0.010666321578381432,0.010659622988142381
7103006.0,0.19844082211197733,-0.010028348688873139,0.014209780297661232,,,,0.20888535662803506,-0.01434153712947489,0.015271117454881189,-0.7023689824121286,0.02252136669202176,0.030035599759896114,,,,-0.6800920040529373,0.030890557776240057,0.030643290720652083
7106245.0,0.630049610205528,-0.07484053862508859,0.06866052445074415,0.7382932766481457,0.2283635661002289,0.2569579997836451,0.6946063100137174,-0.03217940594246449,0.033488488873030575,-0.20062525278413415,0.054918193758366624,0.04492229544218973,-0.1317710865117155,0.16071859704716243,0.1297038297604939,-0.15826127574496446,0.020600761510205373,0.020449204444064784
7206837.0,0.35031892274982285,-0.01575478384124734,0.019893692416725724,0.27384761065776436,0.08739830945142435,0.10199710214469832,0.36551496470610856,-0.02239820700531764,0.023704227488193286,-0.45553640329357104,0.01998420852229643,0.02398761674847555,-0.5624910439726443,0.16694819602002298,0.13749948915774868,-0.43709483770408675,0.027463232933246262,0.027289084661600183
7296438.0,0.3841247342310418,-0.037618710134656265,0.04614457831325301,0.3808435391712951,0.08795334595351223,0.1034432817449843,0.4274014497426062,-0.016703150135497502,0.017261799343345596,-0.4155277272159609,0.04476148344926806,0.049268099866190185,-0.419253407606517,0.11404176186143528,0.10435605819091515,-0.3691640090457299,0.017313086183837756,0.017195246030698774
7510397.0,0.2192062367115521,-0.015988660524450745,0.015627214741318212,0.1222409604242272,0.036645470806329794,0.04216163833787513,0.21606262124101658,-0.012205566302196852,0.012820328150450866,-0.6591470937511689,0.032891639098741376,0.029907054923937193,-0.9127832465849463,0.15476587291625432,0.12869192486878622,-0.6654203594141731,0.025253894785475905,0.025033800577100918
7680114.0,0.403260099220411,-0.02348688873139617,0.019043231750531537,0.3666007267458259,0.05595309639303663,0.08207137234686634,0.3962585057069688,-0.022204115206154784,0.023330846367611513,-0.39441474735927673,0.026060926645040283,0.020039254350356583,-0.4358066784316606,0.07192527644274588,0.08773574197669487,-0.402021402523201,0.025043840792599303,0.024845861086835397
7771282.0,0.31020552799433027,-0.02871013465627215,0.023430191353649894,0.24923737934030263,0.08033882761791147,0.09825634155130422,0.29332967470725246,-0.017462097995833814,0.018347244081187597,-0.5083504671412338,0.04217824082675303,0.03162300756404668,-0.6033868238754252,0.16898725054214203,0.14433378530007834,-0.5326439993798142,0.026655340673016226,0.02634864120117819
7871531.0,1.2622253720765413,-0.07590361445783132,0.09007795889440112,1.0959309195032085,0.1521952538944179,0.14910442896874931,1.2621517843729115,-0.06506972974738945,0.06809962457064755,0.10113690570889565,0.026934410098366682,0.029937212073670214,0.039783179856298846,0.06493281166332629,0.05539850204002216,0.10111158561474906,0.022987665241996608,0.02282214196779482
7940546.0,0.19475549255846916,-0.013012048192771082,0.010368532955350816,,,,0.19643687624928066,-0.02341499391508367,0.026191281251378817,-0.710510285366835,0.030030960175818522,0.02252681622273922,,,,-0.7067769806618285,0.05512198686825187,0.05435707270814749
7970740.0,1.8150248051027642,-0.12119064493267187,0.11644223954642098,,,,1.643524022294951,-0.08326561458890103,0.08707204695315962,0.2588825647140819,0.030011677520291963,0.02700473774909834,,,,0.21577605625694662,0.022579524731310363,0.02241965669782478
8006161.0,1.1842664776754075,-0.0427710843373494,0.050042523033309715,,,,1.2432290637117596,-0.07164094851949154,0.07520475401019011,0.07344943613904349,0.015975272964474332,0.01797445978477223,,,,0.09455115433819455,0.025776196870282556,0.025507179776430827
8150065.0,0.4541459957476967,-0.03517363571934798,0.03417434443656981,0.4041435141288667,0.15152837813464137,0.17357297792745902,0.4434321373387508,-0.030620013654371114,0.03261623494579091,-0.34280451067816653,0.035010116195902996,0.03150932516464533,-0.3934643865565,0.2040762447307835,0.15517915206714233,-0.353172834985384,0.03107472161854885,0.030823919531282606
